Buổi,Cảm xúc,Độ tuổi,Số lượng người,Thời tiết,Phong cách ẩm thực,Loại hình quán ăn,Chế độ ăn,Đặc Biệt,Độ phổ biến,Loại đồ ăn,,,,,
Đêm,Khó chịu,29,3,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,đặc sản,Món lạnh,,,,,
Đêm,Bình thường,30,2,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,Có giao hàng free,bình thường,Món lạnh,,,,,
Đêm,Khó chịu,36,2,Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Chiều,Khó chịu,14,3,Mát,miền nam,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,hot trend,Món nước,,,,,
Trưa,Bình thường,24,2,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bestseller,Món Tráng miệng,,,,,
Trưa,Khó chịu,29,4,Hơi Nóng,Trung quốc,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bestseller,Món nước,,,,,
Trưa,Buồn,32,5,Mát,hàn quốc,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,bestseller,Món Tráng miệng,,,,,
Trưa,Bình thường,24,4,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Trưa,Buồn,33,2,Lạnh,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,Món Tráng miệng,,,,,
Sáng,Bình thường,7,5,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Sáng,Vui,12,2,Nóng,miền nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bestseller,Món lạnh,,,,,
Trưa,Bình thường,12,1,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,đặc sản,Món lạnh,,,,,
Sáng,Khó chịu,22,5,Mát,hàn quốc,Nhà hàng bình dân,ăn chay,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Trưa,Khó chịu,22,4,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món nước,,,,,
Chiều,Vui,30,2,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Tối,Buồn,40,3,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,đặc sản,đồ ăn vặt,,,,,
Tối,Bình thường,31,1,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bình thường,Món lạnh,,,,,
Sáng,Khó chịu,26,2,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,hot trend,đồ ăn vặt,,,,,
Trưa,Buồn,14,4,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Đêm,Bình thường,7,2,Mát,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
Sáng,Buồn,18,2,Hơi lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Sáng,Buồn,9,2,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Đêm,Khó chịu,6,4,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Trưa,Bình thường,26,4,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,bình thường,Món lạnh,,,,,
Sáng,Vui,5,2,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,hot trend,Món nước,,,,,
Trưa,Khó chịu,37,5,Nóng,miền nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,đặc sản,Món nước,,,,,
Tối,Bình thường,26,3,Mát,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,bình thường,Món cho trẻ em,,,,,
Chiều,Bình thường,27,5,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Trưa,Vui,11,3,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,đặc sản,đồ ăn vặt,,,,,
Sáng,Bình thường,34,5,Lạnh,hàn quốc,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Tối,Khó chịu,15,4,Hơi Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,bình thường,Món lạnh,,,,,
Trưa,Bình thường,11,4,Qúa lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bình thường,đồ ăn vặt,,,,,
Trưa,Bình thường,13,3,Nóng,Trung quốc,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Sáng,Vui,26,5,Lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Đêm,Khó chịu,11,5,Quá Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,Món nước,,,,,
Sáng,Vui,18,2,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bestseller,Món nước,,,,,
Tối,Vui,36,4,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Chiều,Bình thường,6,4,Mát,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,bình thường,Món Tráng miệng,,,,,
Trưa,Vui,37,5,Mát,Trung quốc,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,hot trend,Món Tráng miệng,,,,,
Chiều,Khó chịu,20,2,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Sáng,Vui,15,2,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Sáng,Bình thường,19,1,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món cho trẻ em,,,,,
Đêm,Buồn,35,3,Lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Tối,Khó chịu,11,5,Hơi Nóng,Trung quốc,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bình thường,Món lạnh,,,,,
Đêm,Vui,15,2,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,đặc sản,Món nước,,,,,
Sáng,Vui,7,5,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bình thường,Món nước,,,,,
Sáng,Khó chịu,35,5,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,Có giao hàng free,bình thường,đồ ăn vặt,,,,,
Tối,Vui,14,1,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,bestseller,Món nước,,,,,
Sáng,Bình thường,24,1,Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bestseller,Món lạnh,,,,,
Chiều,Buồn,5,1,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Đêm,Bình thường,13,2,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,Món nước,,,,,
Chiều,Bình thường,11,4,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,bestseller,Món nước,,,,,
Đêm,Khó chịu,19,2,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,đặc sản,Món lạnh,,,,,
Trưa,Bình thường,35,3,Nóng,Việt nam,Quán Vỉa Hè,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Sáng,Buồn,30,4,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,28,2,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bestseller,Món cho trẻ em,,,,,
Sáng,Vui,32,3,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,bình thường,Món nước,,,,,
Sáng,Bình thường,31,1,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,bình thường,Món nước,,,,,
Tối,Vui,19,3,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món lạnh,,,,,
Tối,Khó chịu,19,4,Mát,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,bestseller,Món cho trẻ em,,,,,
Sáng,Bình thường,35,3,Hơi Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Sáng,Khó chịu,17,3,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Đêm,Buồn,16,2,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Tối,Buồn,18,1,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bestseller,Món cho trẻ em,,,,,
Đêm,Bình thường,36,3,Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,Món Tráng miệng,,,,,
Đêm,Vui,17,2,Qúa lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,hot trend,đồ ăn vặt,,,,,
Chiều,Buồn,13,4,Nóng,Trung quốc,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,hot trend,Món nước,,,,,
Trưa,Vui,34,3,Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,đặc sản,Món lạnh,,,,,
Đêm,Khó chịu,5,2,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,bestseller,Món Tráng miệng,,,,,
Chiều,Vui,13,1,Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bình thường,Món nước,,,,,
Đêm,Bình thường,10,3,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Trưa,Vui,38,3,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Trưa,Bình thường,19,5,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,hot trend,Món lạnh,,,,,
Tối,Vui,32,3,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bestseller,Món nước,,,,,
Chiều,Khó chịu,39,2,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Đêm,Buồn,29,4,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,Món nước,,,,,
Chiều,Bình thường,23,3,Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,hot trend,Món nước,,,,,
Tối,Vui,10,4,Quá Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Sáng,Bình thường,5,2,Mát,hàn quốc,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,hot trend,Món lạnh,,,,,
Tối,Buồn,25,3,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Trưa,Buồn,5,1,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Tối,Buồn,16,5,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,bestseller,Món Tráng miệng,,,,,
Chiều,Bình thường,23,5,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,Đang giảm giá,bestseller,Món lạnh,,,,,
Đêm,Buồn,23,3,Quá Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Có giao hàng free,đặc sản,Món cho trẻ em,,,,,
Chiều,Khó chịu,26,5,Lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bestseller,Món nước,,,,,
Sáng,Buồn,40,1,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,hot trend,đồ ăn vặt,,,,,
Đêm,Bình thường,28,5,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,đặc sản,Món cho trẻ em,,,,,
Sáng,Bình thường,12,2,Quá Nóng,Việt nam,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bestseller,Món nước,,,,,
Sáng,Bình thường,23,2,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,34,1,Nóng,Việt nam,Quán Vỉa Hè,ăn chay,Có giao hàng free,bestseller,Món nước,,,,,
Chiều,Vui,25,1,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,đặc sản,Món nước,,,,,
Đêm,Buồn,10,3,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món lạnh,,,,,
Tối,Buồn,35,2,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Sáng,Vui,13,5,Nóng,Việt nam,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,bestseller,Món lạnh,,,,,
Tối,Khó chịu,8,2,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Trưa,Vui,34,3,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Trưa,Khó chịu,40,5,Mát,Trung quốc,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,hot trend,Món lạnh,,,,,
Chiều,Bình thường,25,2,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,hot trend,Món nước,,,,,
Sáng,Bình thường,22,4,Hơi lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Sáng,Bình thường,12,5,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,hot trend,Món nước,,,,,
Sáng,Vui,5,1,Mát,Việt nam,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bình thường,Món Tráng miệng,,,,,
Trưa,Buồn,11,4,Mát,hàn quốc,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Trưa,Vui,22,2,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bình thường,Món Tráng miệng,,,,,
Đêm,Bình thường,27,5,Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,Đang giảm giá,hot trend,đồ ăn vặt,,,,,
Đêm,Vui,32,5,Hơi Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,đặc sản,Món cho trẻ em,,,,,
Đêm,Bình thường,31,4,Quá Nóng,Trung quốc,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,bình thường,đồ ăn vặt,,,,,
Sáng,Khó chịu,17,1,Mát,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,đặc sản,Món Tráng miệng,,,,,
Sáng,Khó chịu,7,1,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn chay,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Đêm,Bình thường,8,2,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,hot trend,Món Tráng miệng,,,,,
Trưa,Bình thường,28,4,Hơi lạnh,hàn quốc,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Chiều,Vui,14,3,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Chiều,Khó chịu,30,4,Quá Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,đặc sản,Món nước,,,,,
Trưa,Buồn,36,3,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,hot trend,Món lạnh,,,,,
Trưa,Buồn,36,5,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,hot trend,Món lạnh,,,,,
Trưa,Vui,32,1,Hơi Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,hot trend,Món lạnh,,,,,
Trưa,Buồn,8,1,Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Tối,Bình thường,38,2,Lạnh,Việt nam,Nhà hàng bình dân,ăn chay,Đang giảm giá,bình thường,Món lạnh,,,,,
Chiều,Buồn,13,5,Qúa lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Trưa,Khó chịu,20,3,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Đêm,Bình thường,24,5,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,đặc sản,Món cho trẻ em,,,,,
Sáng,Bình thường,18,4,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,hot trend,đồ ăn vặt,,,,,
Sáng,Vui,32,4,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,đặc sản,Món lạnh,,,,,
Trưa,Bình thường,14,4,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,đặc sản,Món Tráng miệng,,,,,
Đêm,Vui,14,3,Lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Có giao hàng free,bình thường,đồ ăn vặt,,,,,
Tối,Vui,16,4,Qúa lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,bình thường,Món cho trẻ em,,,,,
Đêm,Buồn,8,1,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,bình thường,Món Tráng miệng,,,,,
Trưa,Vui,25,2,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn chay,có không gian ngoài trời,hot trend,Món Tráng miệng,,,,,
Trưa,Bình thường,22,1,Lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,hot trend,Món Tráng miệng,,,,,
Sáng,Vui,30,1,Hơi Nóng,miền nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Đêm,Bình thường,34,3,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,hot trend,Món nước,,,,,
Sáng,Khó chịu,36,1,Nóng,Trung quốc,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,hot trend,Món Tráng miệng,,,,,
Chiều,Vui,11,2,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bình thường,Món cho trẻ em,,,,,
Sáng,Buồn,25,1,Hơi Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,hot trend,Món cho trẻ em,,,,,
Trưa,Bình thường,9,3,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Sáng,Vui,6,2,Hơi Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bình thường,Món Tráng miệng,,,,,
Sáng,Buồn,34,1,Lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,đặc sản,Món Tráng miệng,,,,,
Chiều,Buồn,21,3,Lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,Món nước,,,,,
Sáng,Vui,37,2,Quá Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,đặc sản,Món cho trẻ em,,,,,
Sáng,Bình thường,35,2,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,đặc sản,đồ ăn vặt,,,,,
Chiều,Buồn,35,4,Hơi lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,hot trend,đồ ăn vặt,,,,,
Sáng,Bình thường,22,2,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,bestseller,Món nước,,,,,
Sáng,Buồn,19,1,Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,bestseller,Món Tráng miệng,,,,,
Chiều,Khó chịu,5,1,Hơi lạnh,miền nam,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món nước,,,,,
Sáng,Bình thường,8,1,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,bestseller,Món nước,,,,,
Chiều,Bình thường,5,4,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,hot trend,đồ ăn vặt,,,,,
Tối,Khó chịu,33,1,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Sáng,Bình thường,28,4,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Chiều,Buồn,21,1,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,đặc sản,đồ ăn vặt,,,,,
Sáng,Bình thường,13,2,Nóng,miền nam,Quán Vỉa Hè,ăn chay,Có giao hàng free,đặc sản,Món nước,,,,,
Tối,Bình thường,14,1,Lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,hot trend,Món cho trẻ em,,,,,
Chiều,Buồn,39,3,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có phòng hút thuốc,bình thường,Món nước,,,,,
Chiều,Vui,32,5,Quá Nóng,miền nam,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món nước,,,,,
Chiều,Vui,17,4,Hơi lạnh,Trung quốc,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Trưa,Bình thường,32,5,Hơi Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,hot trend,đồ ăn vặt,,,,,
Trưa,Vui,11,2,Quá Nóng,Việt nam,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bestseller,Món cho trẻ em,,,,,
Đêm,Khó chịu,22,1,Lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,đặc sản,Món cho trẻ em,,,,,
Chiều,Buồn,15,1,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,đặc sản,Món lạnh,,,,,
Trưa,Khó chịu,18,1,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,đặc sản,Món cho trẻ em,,,,,
Sáng,Khó chịu,24,1,Hơi Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bình thường,Món Tráng miệng,,,,,
Sáng,Buồn,22,1,Hơi Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,đặc sản,Món lạnh,,,,,
Chiều,Buồn,11,5,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món nước,,,,,
Tối,Khó chịu,23,3,Quá Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,wifi miễn phí,đặc sản,Món nước,,,,,
Sáng,Khó chịu,37,3,Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bestseller,Món nước,,,,,
Sáng,Vui,11,3,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,hot trend,Món cho trẻ em,,,,,
Đêm,Khó chịu,25,2,Hơi Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,đặc sản,Món Tráng miệng,,,,,
Tối,Bình thường,6,1,Mát,Món cho trẻ em,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bình thường,Món nước,,,,,
Sáng,Bình thường,35,1,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,Món nước,,,,,
Đêm,Khó chịu,35,1,Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng trông trẻ,bestseller,Món lạnh,,,,,
Chiều,Khó chịu,11,2,Lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Chiều,Buồn,18,2,Lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Tối,Bình thường,19,2,Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,Món Tráng miệng,,,,,
Trưa,Buồn,36,4,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,đặc sản,Món Tráng miệng,,,,,
Sáng,Khó chịu,10,4,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,hot trend,Món lạnh,,,,,
Sáng,Khó chịu,24,3,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,bình thường,Món cho trẻ em,,,,,
Tối,Bình thường,32,4,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bình thường,Món lạnh,,,,,
